cluster,gait_speed_4m,gait_get_up,raise_chair_time,activity_regular,age,room_changes_total,room_changes_night,pct_time_outdoor,avg_time_per_room,avg_rooms_per_day
0,3.94,8.49,12.62,2.1,75.87,201.73,23.44,19.52,2169.17,4.21
1,10.74,17.77,17.53,1.7,80.35,56.13,4.3,23.89,2701.8,3.13
2,5.44,8.6,12.83,2.08,75.22,23.14,0.56,9.34,2718.29,2.73
