part_id,pct_time_bedroom_night,pct_time_bathroom_night,pct_time_outdoor,pct_time_kitchen,room_changes_night,room_changes_total
2094,0.09,0.0,3.24,47.83,11,204
2095,0.0,0.0,5.93,38.34,0,59
2096,0.0,0.0,30.93,0.36,4,277
2097,0.0,0.03,62.16,0.57,23,293
2098,0.0,1.1,10.01,2.46,4,31
2099,0.3,0.04,20.46,18.55,19,192
2100,0.93,0.75,21.63,52.0,40,190
2101,1.41,0.0,51.78,0.8,2,27
2102,0.37,1.23,10.22,9.62,27,124
2103,0.0,0.0,5.86,46.26,5,205
2104,0.01,0.22,41.85,10.2,16,171
2105,0.9,0.0,10.57,11.5,24,399
2106,0.05,0.27,8.38,17.41,80,467
2107,0.0,0.0,3.93,65.13,1,294
2108,0.83,0.17,19.38,74.69,198,414
2109,0.0,0.0,5.75,54.47,0,234
2110,0.0,0.0,33.84,21.11,12,121
2111,0.0,0.0,49.69,13.34,0,292
2112,0.0,0.0,83.54,0.12,0,70
2113,4.6,0.25,6.77,4.65,23,122
2114,0.0,0.0,47.93,23.23,0,108
2116,0.0,0.0,24.63,4.55,0,146
2117,0.24,0.0,15.74,52.04,2,85
2118,19.24,0.25,43.96,0.1,38,195
2119,0.0,0.0,42.15,10.39,3,31
2121,0.0,13.5,3.54,4.45,1,16
2122,3.67,0.0,30.01,3.98,3,122
2124,0.0,0.0,47.92,0.27,1,37
2125,0.15,0.04,45.15,2.35,7,71
2126,0.13,0.78,14.8,68.44,10,160
2128,0.76,0.0,5.18,56.87,7,114
2131,0.0,0.0,0.0,93.83,0,15
2132,0.0,0.0,21.78,3.92,0,12
2133,0.0,0.0,8.65,84.32,14,84
2134,0.0,0.0,29.08,10.06,39,80
2135,0.0,0.0,4.84,32.64,0,9
2136,0.0,0.0,16.28,0.72,0,16
2138,2.08,0.0,25.12,58.14,1,224
2139,0.0,0.0,0.0,39.35,0,14
2140,0.57,0.0,0.29,10.64,4,220
2141,0.0,0.0,26.72,9.08,27,385
2142,1.96,3.14,1.9,3.29,127,412
2183,53.46,0.03,0.34,21.4,35,325
2502,0.0,0.0,0.0,2.64,0,5
2503,0.0,0.0,44.01,2.53,0,7
2507,0.0,0.0,0.09,99.91,0,11
2510,0.0,0.0,0.0,90.68,0,7
2518,0.0,0.0,0.0,0.94,0,4
2584,0.0,0.0,0.0,31.01,3,12
2615,0.58,0.05,1.5,86.24,27,47
3001,0.0,7.79,12.16,1.76,2,100
3002,17.32,3.61,16.29,14.21,54,334
3004,0.0,0.0,4.91,35.7,3,64
3005,12.93,0.06,18.52,6.61,15,218
3006,0.0,0.56,14.71,15.99,1,120
3007,0.0,0.0,11.18,13.16,5,198
3008,0.0,0.0,35.68,16.55,0,53
3009,0.0,0.0,17.23,3.86,0,171
3010,0.0,0.0,22.27,24.56,0,62
3011,0.0,0.0,14.9,7.93,7,106
3012,0.0,0.0,8.31,75.3,8,119
3014,0.0,0.0,7.1,11.81,1,162
3016,0.05,0.51,21.32,11.75,8,116
3019,0.0,0.0,16.39,14.64,12,173
3020,9.94,0.0,8.49,33.12,42,221
3021,11.75,0.0,30.65,9.42,70,185
3026,0.0,0.06,17.51,66.24,4,39
3028,0.0,0.32,29.49,6.99,2,121
3029,0.0,0.13,8.51,30.13,17,211
3030,0.0,0.0,0.0,7.23,3,8
3031,0.0,0.0,11.92,36.25,0,128
3032,1.15,0.0,22.13,21.91,45,188
3033,0.0,0.0,8.26,41.49,0,69
3034,0.0,0.0,0.0,4.03,0,2
3037,0.0,0.0,43.34,22.01,7,92
3038,0.0,0.0,11.86,8.33,25,161
3039,0.0,0.0,1.84,18.3,9,108
3040,0.0,0.0,0.0,44.21,0,15
3041,0.0,0.0,16.75,5.95,0,113
3043,0.0,0.0,24.78,3.3,8,250
3044,0.39,0.71,25.69,4.65,11,123
3048,0.0,0.0,7.09,42.39,0,179
3051,0.0,0.0,6.77,24.68,0,151
3052,0.0,0.0,5.61,0.1,1,57
3053,0.0,0.0,22.33,52.58,5,104
3054,0.0,0.0,47.14,20.9,17,133
3055,0.32,1.54,0.0,23.79,4,28
3057,0.14,0.0,21.03,5.54,15,223
3058,0.0,0.0,6.44,21.14,5,49
3060,0.0,0.0,67.09,17.28,0,57
3061,0.0,0.0,35.75,4.44,0,99
3062,0.0,0.0,10.14,27.65,5,293
3064,3.17,0.0,0.0,12.31,2,131
3065,0.66,0.0,19.73,7.02,10,77
3066,6.81,2.66,19.29,3.23,24,74
3067,0.0,0.0,19.62,0.18,0,30
3068,13.84,0.0,3.07,36.63,3,86
3070,0.0,0.0,23.95,30.32,7,63
3072,1.18,0.47,12.97,18.56,21,124
3073,12.79,0.0,0.03,22.35,29,80
3077,0.0,0.0,29.21,14.89,21,114
3079,0.0,0.0,48.99,2.48,0,60
3081,0.72,0.0,9.51,10.97,14,398
3082,0.21,0.0,34.91,9.51,270,708
3083,0.0,0.0,1.07,0.0,0,28
3084,0.01,0.0,8.31,19.02,3,473
3085,0.0,0.0,0.0,0.25,0,24
3086,0.0,0.0,1.37,48.99,0,331
3087,0.0,0.0,5.02,23.38,0,295
3089,0.0,0.0,3.85,8.98,0,139
3090,0.0,0.0,13.51,58.29,3,487
3091,0.08,0.0,62.13,22.19,15,150
3095,0.0,0.0,2.68,4.68,9,154
3096,0.0,0.0,5.89,13.59,0,112
3097,0.07,0.0,5.79,0.55,2,126
3098,0.38,0.51,14.61,17.73,196,1023
3099,0.0,0.0,35.37,15.06,0,47
3102,0.0,0.0,8.36,8.7,1,166
3103,0.01,0.0,3.18,49.72,3,537
3104,3.38,0.0,21.5,11.68,90,551
3105,0.03,0.0,6.12,30.57,25,606
3106,0.0,0.0,17.68,4.66,0,467
3107,42.52,0.0,16.5,7.42,2,344
3108,0.0,0.0,19.9,66.1,0,72
3109,0.0,0.0,21.57,3.5,10,126
3110,0.0,0.0,27.39,46.96,0,28
3112,9.2,0.69,16.8,0.0,9,95
3113,0.0,0.0,39.45,4.24,264,569
3114,2.19,0.0,23.76,3.78,13,140
3115,0.0,0.0,99.1,0.21,0,21
3116,1.62,0.97,22.05,19.85,31,96
3117,0.06,0.0,13.07,30.51,16,307
3118,0.4,0.34,6.17,13.38,22,258
3119,1.22,0.07,18.72,12.08,212,836
3120,0.24,0.0,28.41,1.97,14,432
3127,0.0,0.0,18.17,14.74,0,58
3129,0.1,0.0,3.33,30.02,40,389
3131,0.0,5.15,24.22,19.86,45,415
3132,0.0,0.0,16.94,3.58,28,419
3133,0.0,0.05,20.18,44.42,4,84
3134,0.0,0.0,29.62,6.88,0,193
3135,0.0,0.0,7.96,7.93,8,250
3139,0.0,0.0,10.2,61.65,0,182
